bfs_nr,total_elec_per_capita_mwh_2024,household_elec_per_capita_mwh_2024,capital_avg_2022,capital_median_2022,income_avg_2022,income_median_2022,municipality,ratio_consum_to_capital_median,ratio_consum_to_capital_avg
68,3.001091666666667,1.9076083333333334,259000.0,40000.0,61600.0,54300.0,Rorbas,4.769020833333333e-05,7.36528314028314e-06
69,6.939075,1.3049833333333334,402000.0,55000.0,79000.0,61000.0,Wallisellen,2.3726969696969697e-05,3.2462271973466006e-06
70,3.9488833333333333,3.0681833333333333,324000.0,123000.0,65700.0,58400.0,Wasterkingen,2.4944579945799456e-05,9.469701646090535e-06
71,5.468833333333333,2.4997000000000003,505000.0,124000.0,81100.0,61400.0,Wil (ZH),2.0158870967741938e-05,4.949900990099011e-06
72,3.457525,2.2579333333333333,777000.0,112000.0,103700.0,71300.0,Winkel,2.016011904761905e-05,2.9059631059631058e-06
81,5.021608333333334,2.5614500000000002,454000.0,160000.0,67900.0,59100.0,Bachs,1.6009062500000003e-05,5.641960352422908e-06
82,4.067633333333333,2.3611916666666666,894000.0,155000.0,106200.0,69100.0,Boppelsen,1.5233494623655913e-05,2.64115398956003e-06
83,3.308425,1.3574416666666667,289000.0,36000.0,66900.0,55800.0,Buchs (ZH),3.770671296296296e-05,4.697029988465975e-06
84,7.342325,1.7100833333333334,313000.0,37000.0,64300.0,56000.0,Dällikon,4.621846846846847e-05,5.463525026624069e-06
85,3.783291666666667,1.6089,366000.0,43000.0,70800.0,55500.0,Dänikon,3.741627906976744e-05,4.395901639344262e-06
86,6.641291666666667,1.8914666666666669,303000.0,34000.0,64100.0,54600.0,Dielsdorf,5.563137254901961e-05,6.242464246424643e-06
87,3.2463333333333337,2.3389666666666664,547000.0,139000.0,87000.0,70500.0,Hüttikon,1.6827098321342923e-05,4.275990249847654e-06
88,3.45875,2.385175,1399000.0,164000.0,101500.0,72400.0,Neerach,1.454375e-05,1.7049142244460328e-06
89,4.0107,1.672,294000.0,45000.0,63300.0,54400.0,Niederglatt,3.715555555555555e-05,5.687074829931973e-06
90,3.452425,1.6217833333333334,293000.0,41000.0,63000.0,54100.0,Niederhasli,3.955569105691057e-05,5.535096700796359e-06
91,4.626975,2.3600333333333334,468000.0,87000.0,76600.0,59800.0,Niederweningen,2.7126819923371647e-05,5.042806267806268e-06
92,2.7577166666666666,1.3863750000000001,177000.0,18000.0,56800.0,51400.0,Oberglatt,7.702083333333335e-05,7.832627118644068e-06
93,2.748275,1.9377666666666666,455000.0,60000.0,75500.0,59100.0,Oberweningen,3.229611111111111e-05,4.2588278388278385e-06
94,6.368966666666666,1.9761333333333333,374000.0,94000.0,75000.0,62200.0,Otelfingen,2.102269503546099e-05,5.283778966131907e-06
95,4.633383333333334,2.3845833333333335,556000.0,91000.0,80800.0,64100.0,Regensberg,2.6204212454212455e-05,4.288818944844125e-06
96,4.064383333333333,1.4108583333333333,300000.0,26000.0,62600.0,52100.0,Regensdorf,5.426378205128205e-05,4.702861111111111e-06
97,6.296458333333334,1.3523083333333332,265000.0,32000.0,62900.0,53800.0,Rümlang,4.225963541666666e-05,5.1030503144654085e-06
98,3.187116666666667,2.2668583333333334,374000.0,90000.0,71900.0,59400.0,Schleinikon,2.5187314814814816e-05,6.061118538324421e-06
99,3.7011083333333334,2.5812666666666666,497000.0,144000.0,78300.0,61400.0,Schöfflisdorf,1.792546296296296e-05,5.193695506371562e-06
100,3.5914249999999996,2.207008333333333,366000.0,84000.0,66500.0,58000.0,Stadel,2.6273908730158726e-05,6.0300774134790515e-06
101,3.702125,1.932675,398000.0,68000.0,69000.0,57100.0,Steinmaur,2.8421691176470588e-05,4.8559673366834165e-06
102,3.0091583333333336,1.85565,253000.0,29000.0,62600.0,54800.0,Weiach,6.398793103448275e-05,7.334584980237154e-06
111,4.378808333333333,2.4750083333333333,397000.0,102000.0,65500.0,54200.0,Bäretswil,2.4264787581699344e-05,6.2342779177162045e-06
112,5.9242333333333335,2.079975,476000.0,108000.0,71400.0,57500.0,Bubikon,1.925902777777778e-05,4.36969537815126e-06
113,3.3378083333333333,1.8727916666666669,357000.0,69000.0,64100.0,53200.0,Dürnten,2.7141908212560388e-05,5.245915032679739e-06
114,4.380233333333334,2.265425,243000.0,55000.0,56200.0,50000.0,Fischenthal,4.118954545454546e-05,9.322736625514404e-06
115,3.2664000000000004,1.9444416666666668,483000.0,90000.0,69300.0,55200.0,Gossau (ZH),2.160490740740741e-05,4.025759144237405e-06
116,4.440008333333334,2.0864416666666665,414000.0,77000.0,67300.0,56300.0,Grüningen,2.709664502164502e-05,5.039714170692431e-06
117,5.705016666666666,2.043225,401000.0,65000.0,62700.0,52900.0,Hinwil,3.143423076923077e-05,5.095324189526185e-06
118,4.128466666666667,1.512975,296000.0,38000.0,56800.0,48200.0,Rüti (ZH),3.981513157894737e-05,5.111402027027027e-06
119,4.492308333333333,2.2819416666666665,556000.0,93000.0,72100.0,59800.0,Seegräben,2.453700716845878e-05,4.104211630695443e-06
120,4.066441666666667,2.1031916666666666,285000.0,42000.0,54900.0,46600.0,Wald (ZH),5.007599206349206e-05,7.379619883040935e-06
121,4.831416666666667,1.6639666666666668,302000.0,39000.0,60700.0,51300.0,Wetzikon (ZH),4.266581196581197e-05,5.5098233995585e-06
131,3.1888583333333336,1.2010416666666666,384000.0,70000.0,81900.0,58400.0,Adliswil,1.7157738095238095e-05,3.127712673611111e-06
135,5.358108333333334,1.7053583333333335,1834000.0,204000.0,177300.0,87600.0,Kilchberg (ZH),8.359599673202616e-06,9.298573246092331e-07
136,2.5305916666666666,1.4217833333333332,576000.0,78000.0,84600.0,57200.0,Langnau am Albis,1.8227991452991453e-05,2.4683738425925924e-06
137,2.7432,1.6092166666666667,906000.0,181000.0,109900.0,69400.0,Oberrieden,8.890699815837938e-06,1.7761773362766742e-06
138,3.83255,1.796025,486000.0,85000.0,81100.0,58800.0,Richterswil,2.112970588235294e-05,3.6955246913580246e-06
139,4.4058166666666665,1.7572333333333334,4485000.0,210000.0,181800.0,83000.0,Rüschlikon,8.367777777777779e-06,3.9180230397621706e-07
141,3.296875,1.4562,696000.0,126000.0,105700.0,68000.0,Thalwil,1.1557142857142856e-05,2.0922413793103447e-06
151,3.802341666666667,1.7796666666666667,4479000.0,253000.0,183300.0,79000.0,Erlenbach (ZH),7.034255599472991e-06,3.973357148172955e-07
152,3.4117166666666665,1.8199833333333333,2347000.0,278000.0,173900.0,82300.0,Herrliberg,6.546702637889688e-06,7.754509302655873e-07
