bfs_nr,total_elec_per_capita_mwh_2024,household_elec_per_capita_mwh_2024
1,4.495275,2.9707000000000003
2,4.198583333333334,1.67875
3,2.789025,1.7382833333333334
4,3.874125,2.2510166666666667
5,5.465508333333333,2.1699083333333333
6,3.7826916666666666,2.2002083333333333
7,3.0750166666666665,1.809475
8,4.364158333333333,2.8508416666666663
9,4.4245,2.0920916666666667
10,3.6986833333333333,2.1216
11,4.632241666666666,2.752925
12,3.7544166666666663,2.152233333333333
13,3.780666666666667,2.0142666666666664
14,3.4150833333333335,1.9455333333333333
22,4.625591666666667,2.4318916666666666
23,4.497958333333333,3.3330333333333333
24,4.255,2.7297166666666666
25,5.329441666666667,2.3850166666666666
26,4.507725,2.8886416666666666
27,3.4176750000000005,1.6349416666666665
28,5.670508333333333,3.0585916666666666
29,4.120266666666667,2.0524416666666667
31,3.871033333333333,2.2243833333333334
33,5.688133333333333,2.9688250000000003
34,4.591616666666667,2.7986333333333335
35,6.959700000000001,3.02845
37,4.315875,2.5742083333333334
38,5.698533333333334,2.902441666666667
39,4.258066666666667,2.853358333333333
40,4.9157416666666665,2.8316166666666667
41,5.076058333333333,2.5444999999999998
43,4.490025,3.0606666666666666
51,5.399533333333333,1.7904916666666668
52,3.5747083333333336,1.4977333333333334
53,3.758016666666667,1.3726666666666665
54,5.275025,1.3181666666666667
55,3.6961833333333334,2.2704583333333335
56,3.5342749999999996,1.5940166666666666
57,4.409741666666666,2.5772999999999997
58,3.608425,2.146716666666667
59,2.9415833333333334,1.8565916666666666
60,4.874916666666667,1.7510750000000002
61,5.251283333333333,2.650958333333333
62,6.969133333333333,1.2785333333333333
63,3.1760333333333333,2.0151083333333335
64,3.366566666666667,2.0821833333333335
65,3.872866666666667,2.579308333333333
66,5.511150000000001,1.082625
67,4.561050000000001,2.1731333333333334
68,3.001091666666667,1.9076083333333334
69,6.939075,1.3049833333333334
70,3.9488833333333333,3.0681833333333333
71,5.468833333333333,2.4997000000000003
72,3.457525,2.2579333333333333
81,5.021608333333334,2.5614500000000002
82,4.067633333333333,2.3611916666666666
83,3.308425,1.3574416666666667
84,7.342325,1.7100833333333334
85,3.783291666666667,1.6089
86,6.641291666666667,1.8914666666666669
87,3.2463333333333337,2.3389666666666664
88,3.45875,2.385175
89,4.0107,1.672
90,3.452425,1.6217833333333334
91,4.626975,2.3600333333333334
92,2.7577166666666666,1.3863750000000001
93,2.748275,1.9377666666666666
94,6.368966666666666,1.9761333333333333
95,4.633383333333334,2.3845833333333335
96,4.064383333333333,1.4108583333333333
