bfs_nr,metric,residual,zscore
135,income_median_2022,30038.905954155838,4.0873108961287
136,income_median_2022,-3944.040690025933,-0.5366547141137715
137,income_median_2022,8264.024676197267,1.1244629933076653
138,income_median_2022,-1077.603667750227,-0.14662655223281904
139,income_median_2022,24000.311002565366,3.2656559736554382
141,income_median_2022,7893.734866502695,1.074078682500878
151,income_median_2022,19105.08757745268,2.5995764541488557
152,income_median_2022,21785.03089907125,2.9642289337090673
153,income_median_2022,-8934.037714613543,-1.2156298153166507
154,income_median_2022,16921.661738220922,2.302483735885385
155,income_median_2022,5239.592560908917,0.7129368758689772
156,income_median_2022,12089.04315392176,1.6449226840086841
157,income_median_2022,-5558.35986181441,-0.7563106613293737
158,income_median_2022,3390.267747738457,0.46130436066057784
159,income_median_2022,6129.677557120878,0.8340482808266035
160,income_median_2022,13144.817791958441,1.7885790205107346
161,income_median_2022,17528.42689340441,2.385044593260072
172,income_median_2022,292.1634651936256,0.039753875076512145
173,income_median_2022,-2872.204151213271,-0.3908128791733158
176,income_median_2022,5752.8068242112495,0.7827685219897002
177,income_median_2022,-2830.604725772828,-0.38515256034762657
178,income_median_2022,941.7955510000174,0.12814751720327977
180,income_median_2022,-2793.281768200315,-0.38007412868321455
181,income_median_2022,-10363.522827868452,-1.4101359031274892
182,income_median_2022,-1520.0990695225773,-0.20683567835449643
191,income_median_2022,-791.3644201827483,-0.10767876907228169
192,income_median_2022,-818.2265668395703,-0.11133382711239136
193,income_median_2022,613.9321555888091,0.08353605130797853
194,income_median_2022,-375.1672739208443,-0.05104797388120044
195,income_median_2022,4213.9119646034305,0.5733753524358243
196,income_median_2022,-2512.4288251673133,-0.3418592450912312
197,income_median_2022,-1999.7076526608435,-0.2720946924720421
198,income_median_2022,-3274.803356675613,-0.4455934401488173
199,income_median_2022,-1323.9047409861087,-0.18014005841382347
200,income_median_2022,1025.5281092974183,0.13954077494748698
211,income_median_2022,-6094.138698731425,-0.8292126066062161
213,income_median_2022,6746.997562911318,0.9180453075464271
214,income_median_2022,-5646.955242641852,-0.7683655898928616
215,income_median_2022,8652.170137986293,1.1772768733362657
216,income_median_2022,3206.6124134578276,0.43631488700654414
218,income_median_2022,8740.298968565548,1.1892683196971754
219,income_median_2022,-5175.172776414365,-0.704171453869499
220,income_median_2022,-6059.111523020401,-0.8244465556334284
221,income_median_2022,4984.99203467802,0.6782940860612586
223,income_median_2022,-413.6809727443033,-0.05628842641604266
224,income_median_2022,-3416.6491109077033,-0.4648939998205721
225,income_median_2022,-5221.200720894602,-0.7104343490391032
226,income_median_2022,-6467.666344484853,-0.8800374808151272
227,income_median_2022,2343.6307804250973,0.3188913617544327
228,income_median_2022,-10129.937912314483,-1.3783526493707738
230,income_median_2022,-8532.535071534265,-1.1609984605533668
231,income_median_2022,-10472.231575034137,-1.4249276018489045
241,income_median_2022,15138.302101747104,2.05982691992145
242,income_median_2022,2563.263387414074,0.3487761634533108
243,income_median_2022,-10565.560883772909,-1.4376266628972103
244,income_median_2022,-3124.432739160722,-0.4251329258955948
245,income_median_2022,-8465.823972171813,-1.1519212656737325
246,income_median_2022,-944.2238243698739,-0.12847792564820024
247,income_median_2022,-3600.2178009997006,-0.4898716840393707
248,income_median_2022,29653.449202624775,4.034862861472453
249,income_median_2022,1954.908150366522,0.2659989480348709
