metric,pearson_r,pearson_p,spearman_r,spearman_p,n
capital_median_2022,0.42914600355465626,1.4946958588574394e-08,0.5461428435565491,8.049780231489851e-14,160
income_median_2022,0.07216981224538589,0.3644546213121517,0.15903728842427833,0.04456785305899319,160
capital_avg_2022,0.00039485594079775865,0.9960461667363733,0.24002490392170997,0.0022347845819661372,160
income_avg_2022,-0.05318677695225043,0.5041569142522729,0.02034651631179585,0.7984343709376671,160
